rect_count,car_count,total cost,cars used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
5,3,950,1,0.0009768009185791016,0.1,0
6,3,350,1,0.0019905567169189453,0.1,0
7,4,450,1,0.0019953250885009766,0.1,0
8,4,100,1,0.00597834587097168,0.1,0
9,4,1550,2,0.0019958019256591797,0.1,0
10,3,1000,1,0.005982637405395508,0.1,0
11,5,750,1,0.00797724723815918,0.1,0
12,5,700,2,0.008974075317382812,0.1,0
13,4,450,1,0.01698160171508789,0.1,0
14,5,1550,2,0.011967897415161133,0.1,0
15,6,250,1,0.022938013076782227,0.1,0
16,6,1050,2,0.01595783233642578,0.1,0
17,6,1300,2,0.01994800567626953,0.1,0
18,8,150,1,0.055849313735961914,0.1,0
19,9,1650,3,0.008980274200439453,0.1,0
20,9,400,1,0.05984377861022949,0.1,0
21,8,950,2,0.03690052032470703,0.1,0
22,8,350,1,0.12167239189147949,0.1,0
23,8,750,1,0.10471725463867188,0.1,0
24,9,100,1,0.15558385848999023,0.1,0
25,10,400,1,0.2034590244293213,0.1,0
26,10,800,2,0.0348665714263916,0.1,0
27,10,350,1,0.20345425605773926,0.1,0
28,9,700,1,0.1994328498840332,0.1,0
29,11,150,1,0.24534392356872559,0.1,0
30,11,900,3,0.03291487693786621,0.1,0
31,10,550,1,0.26130151748657227,0.1,0
32,12,1200,2,0.1435847282409668,0.1,0
33,14,350,2,0.0638279914855957,0.1,0
34,12,750,2,0.15256237983703613,0.1,0
35,11,1600,3,0.0408627986907959,0.1,0
36,12,1200,4,0.03490591049194336,0.1,0
37,12,900,3,0.06283164024353027,0.1,0
38,12,1050,3,0.13065052032470703,0.1,0
39,16,3200,5,0.02590322494506836,0.1,0
40,14,1250,3,0.08180952072143555,0.1,0
41,15,600,1,0.571467399597168,0.1,0
42,14,700,4,0.06381440162658691,0.1,0
43,17,1100,3,0.09175491333007812,0.1,0
44,18,1000,2,0.6103379726409912,0.1,0
45,17,950,3,0.07576847076416016,0.1,0
46,17,1150,4,0.121673583984375,0.1,0
47,16,700,3,0.1246652603149414,0.1,0
48,18,1250,3,0.31515932083129883,0.1,0
49,15,600,3,0.17250561714172363,0.1,0
50,18,1750,5,0.058843374252319336,0.1,0
51,18,2000,5,0.10874032974243164,0.1,0
52,17,1750,4,0.14558124542236328,0.1,0
53,20,950,2,0.9763584136962891,0.1,0
54,18,2600,5,0.09474611282348633,0.1,0
60,23,2550,6,0.1406240463256836,0.1,0
90,29,1150,5,0.3720071315765381,0.1,0
120,44,2300,7,0.5685105323791504,0.1,0
150,53,3700,12,0.372971773147583,0.1,0
180,64,1700,7,1.9298698902130127,0.1,0
210,72,4200,15,1.2426443099975586,0.1,0
240,81,3550,9,6.164541006088257,0.1,14
270,93,6050,17,1.4730603694915771,0.1,0
300,110,4450,13,2.9511349201202393,0.1,0
330,110,4000,16,2.5681302547454834,0.1,0
350,122,3150,12,4.410232305526733,0.1,0
400,135,5950,22,1.9248216152191162,0.1,0
450,158,6150,21,4.66352653503418,0.1,0
500,167,8400,35,1.5139515399932861,0.1,0
550,196,6850,27,3.466693878173828,0.1,0
600,200,8250,29,6.561478853225708,0.1,0
650,231,7350,29,15.015808343887329,0.1,75
700,239,8800,34,5.840379953384399,0.1,0
750,250,13350,42,4.719347238540649,0.1,0
800,270,9650,42,6.28122878074646,0.1,0
850,299,9200,38,8.272873163223267,0.1,0
900,318,13250,41,9.883594751358032,0.1,0
950,335,16550,59,3.962430238723755,0.1,0
1000,346,11800,48,9.427783727645874,0.1,0
