rect_count,car_count,total cost,cars used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
5,3,950,1,0.000997781753540039,1,0
6,3,350,1,0.0029916763305664062,1,0
7,4,450,1,0.01598811149597168,1,0
8,4,100,1,0.0059528350830078125,1,0
9,4,1550,2,0.003021240234375,1,0
10,3,1000,1,0.006981611251831055,1,0
11,5,750,1,0.008975982666015625,1,0
12,5,700,2,0.007978200912475586,1,0
13,4,450,1,0.01695728302001953,1,0
14,5,1550,2,0.012933492660522461,1,0
15,6,250,1,0.023936033248901367,1,0
16,6,1050,2,0.01595759391784668,1,0
17,6,1300,2,0.019975900650024414,1,0
18,8,150,1,0.05784487724304199,1,0
19,9,1650,3,0.009007930755615234,1,0
20,9,400,1,0.06083488464355469,1,0
21,8,950,2,0.03789854049682617,1,0
22,8,350,1,0.12463712692260742,1,0
23,8,750,1,0.1107330322265625,1,0
24,9,100,1,0.15957307815551758,1,0
25,10,400,1,0.20545434951782227,1,0
26,10,800,2,0.03589987754821777,1,0
27,10,350,1,0.21043801307678223,1,0
28,9,700,1,0.20641803741455078,1,0
29,11,150,1,0.2513573169708252,1,0
30,11,900,3,0.033908843994140625,1,0
31,10,550,1,0.270247220993042,1,0
32,12,1200,2,0.14664125442504883,1,0
33,14,350,2,0.06581974029541016,1,0
34,12,750,2,0.15960288047790527,1,0
35,11,1600,3,0.04185748100280762,1,0
36,12,1200,4,0.0359039306640625,1,0
37,12,900,3,0.06482672691345215,1,0
38,12,1050,3,0.135667085647583,1,0
39,16,3200,5,0.025929689407348633,1,0
40,14,1250,3,0.0847771167755127,1,0
41,15,600,1,0.5854012966156006,1,0
42,14,700,4,0.06685447692871094,1,0
43,17,1100,3,0.09471344947814941,1,0
44,18,1000,2,0.6303441524505615,1,0
45,17,950,3,0.07878804206848145,1,0
46,17,1150,4,0.12566399574279785,1,0
47,16,700,3,0.12765836715698242,1,0
48,18,1250,3,0.3251311779022217,1,0
49,15,600,3,0.1735060214996338,1,0
50,18,1750,5,0.0608370304107666,1,0
51,18,2000,5,0.11272811889648438,1,0
52,17,1750,4,0.14760470390319824,1,0
53,20,950,2,1.0053143501281738,1,0
54,18,2600,5,0.09673833847045898,1,0
60,23,2550,6,0.14361929893493652,1,0
90,29,1150,5,0.3819453716278076,1,0
120,44,2300,7,0.5884261131286621,1,0
150,53,3700,12,0.39893293380737305,1,0
180,64,1700,7,1.9916729927062988,1,0
210,72,4200,15,1.2875561714172363,1,0
240,81,3450,8,6.577407598495483,1,0
270,93,6050,17,1.5269455909729004,1,0
300,110,4450,13,3.0288963317871094,1,0
330,110,4000,16,2.65387225151062,1,0
350,122,3150,12,4.541852235794067,1,0
400,135,5950,22,1.990675449371338,1,0
450,158,6150,21,4.810134410858154,1,0
500,167,8400,35,1.5389127731323242,1,0
550,196,6850,27,3.5813918113708496,1,0
600,200,8250,29,6.768895387649536,1,0
650,231,7150,28,14.047428131103516,1,0
700,239,8800,34,6.051841974258423,1,0
750,250,13350,42,4.83806037902832,1,0
800,270,9650,42,6.456701040267944,1,0
850,299,9200,38,8.631912469863892,1,0
900,318,13250,41,10.221689701080322,1,0
950,335,16550,59,4.135908126831055,1,0
1000,346,11800,48,9.707067251205444,1,0
